Combination, leakage_current_cir, leakage_current_mos, error
001101111,1.59222e-05, 4.8812619e-06, 6.934304367486906
001110000,8.31045e-06, 5.754478700000003e-06, 3.0756111883231307
001110001,8.65326e-06, 5.470053800000003e-06, 3.678620774135987
001110010,9.24401e-06, 5.478403500000003e-06, 4.073563853782068
001110011,1.0567e-05, 5.193296900000002e-06, 5.085363016939527
001110100,8.46986e-06, 5.381333700000004e-06, 3.64649037882562
001110101,8.13853e-06, 5.292613600000003e-06, 3.496843287424139
001110110,9.40342e-06, 5.1052585000000016e-06, 4.5708492229422895
001110111,1.00522e-05, 5.0158567000000014e-06, 5.010190107638127
001111000,1.27567e-05, 5.279665100000002e-06, 5.861261062814048
001111001,1.30995e-05, 4.9952402e-06, 6.186693995954045
001111010,1.57016e-05, 5.067808200000001e-06, 6.772425612676415
001111011,1.7042e-05, 4.794616e-06, 7.186588428588195
001111100,1.395e-05, 4.954221400000001e-06, 6.448586810035842
001111101,1.36187e-05, 4.8655013e-06, 6.427337925058926
001111110,1.7367e-05, 4.628622800000001e-06, 7.3348172971727985
001111111,1.80696e-05, 4.587604e-06, 7.461148005489883
010000000,9.33859e-06, 6.544446400000007e-06, 2.9920401259719003
010000001,9.66397e-06, 6.2481071000000045e-06, 3.5346373177896826
010000010,9.21421e-06, 6.1895660000000046e-06, 3.282586353035144
010000011,1.05197e-05, 5.892545000000003e-06, 4.3985617460573945
010000100,9.48056e-06, 6.159387000000005e-06, 3.503140109866922
010000101,9.14923e-06, 6.070666900000006e-06, 3.3648329968751414
010000110,9.35618e-06, 5.8045066000000045e-06, 3.79607211490159
010000111,1.0005e-05, 5.715104800000003e-06, 4.287751324337829
010001000,9.15215e-06, 5.923405700000005e-06, 3.527853345935103
010001001,9.47752e-06, 5.627066400000004e-06, 4.062722737593797
010001010,1.10727e-05, 5.666333500000004e-06, 4.8826090294146836
010001011,1.23782e-05, 5.369312500000002e-06, 5.662283288361795
